regNumber,title,img,labels
34826248,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/34826248_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x578 at 0x7F7D1EBE5DB0>,26
34826247,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/34826247_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x571 at 0x7F7D1EBE5F30>,26
36589110,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/36589110_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x181 at 0x7F7D1EBE5D80>,73
34826257,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/34826257_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=731x556 at 0x7F7D1EBE5B40>,36
3763878,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/3763878_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x172 at 0x7F7D1EBE5EA0>,51
36589102,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/36589102_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x567 at 0x7F7D1EBE5FC0>,51
34830786,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/34830786_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x575 at 0x7F7D1EBE6080>,49
39123837,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/39123837_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x172 at 0x7F7D1EBE5E40>,51
39133046,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/39133046_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x184 at 0x7F7D1EBE5FF0>,51
5607554,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/5607554_1.jpg,<PIL.MpoImagePlugin.MpoImageFile image mode=RGB size=800x533 at 0x7F7D1EBE6020>,4
5607558,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/5607558_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x533 at 0x7F7D1EBE61D0>,4
5607553,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/5607553_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x533 at 0x7F7D1EBE60E0>,4
5607552,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/5607552_1.jpg,<PIL.MpoImagePlugin.MpoImageFile image mode=RGB size=800x533 at 0x7F7D1EBE6050>,4
5607522,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/5607522_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x533 at 0x7F7D1EBE60B0>,4
5607515,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/5607515_1.jpg,<PIL.MpoImagePlugin.MpoImageFile image mode=RGB size=800x533 at 0x7F7D1EBE6230>,4
5607499,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/5607499_1.jpg,<PIL.MpoImagePlugin.MpoImageFile image mode=RGB size=800x533 at 0x7F7D1EBE6140>,4
5607497,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/5607497_1.jpg,<PIL.MpoImagePlugin.MpoImageFile image mode=RGB size=800x533 at 0x7F7D1EBE6260>,54
5607487,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/5607487_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x533 at 0x7F7D1EBE62F0>,4
5607480,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/5607480_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x533 at 0x7F7D1EBE5810>,4
5607661,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/5607661_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x533 at 0x7F7D1EBE6350>,4
5607659,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/5607659_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x533 at 0x7F7D1EBE61A0>,49
5607658,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/5607658_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x533 at 0x7F7D1EBE6200>,49
5607654,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/5607654_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x533 at 0x7F7D1EBE6320>,49
5607653,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/5607653_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x533 at 0x7F7D1EBE6290>,4
5607651,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/5607651_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x533 at 0x7F7D1EBE5F00>,4
5607649,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/5607649_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x533 at 0x7F7D1EBE6380>,4
